id,sd,note,group_name,year,trait,subcategory,mr,author,build,category,consortium,pmid,nsnp,population,sex,ontology,unit,priority,sample_size,ncase,ncontrol
ieu-a-271,1.987577737,Effect allele frequencies are missing,public,2012.0,Mean cell haemoglobin,Haemotological,1,van der Harst P,HG19/GRCh37,Risk factor,HaemGen,23222517.0,2586785,Mixed,Males and Females,,pg,1,64731.0,,
ukb-d-G6_CARPTU,,,public,2018.0,Carpal tunnel syndrome,,1,Neale lab,HG19/GRCh37,Binary,,,12867910,European,Males and Females,,,0,361194.0,7973.0,353221.0
ukb-b-8670,,41229#5J4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT responsible for patient data: KNOWSLEY PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1017.0,461993.0
ukb-b-7047,,41200#M459: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - main OPCS: M45.9 Unspecified diagnostic endoscopic examination of bladder,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,24622.0,438388.0
ubm-a-2779,,,public,2018.0,a2009s lh G temp sup-G T transv area,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ubm-a-3114,,,public,2018.0,a2009s rh S collat transv ant thickness,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ubm-a-621,,,public,2018.0,IDP dMRI TBSS ISOVF Superior longitudinal fasciculus L,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
prot-a-1879,,,public,2018.0,Protein MENT,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-1666,,,public,2018.0,NET100 0510,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-14624,,6145#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,"Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce",,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,459742.0,14149.0,445593.0
ukb-a-176,,,public,2017.0,Treatment/medication code: atorvastatin,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,337159.0,10167.0,326992.0
